 名称:烽禾影城(祈福新邨店)	连接:http://maoyan.com/cinema/2161?poi=110	地址：番禺区钟屏路钟福广场3层（祈福新村祈福医院旁）
名称:博亚国际影城(南岸路店)	连接:http://maoyan.com/cinema/16487?poi=11647223	地址：荔湾区南岸路45号圣地新天地广场3楼

名称:中影佰纳飞影电影城(凤凰城店)	连接:http://maoyan.com/cinema/14816?poi=8051133	地址：增城区永宁街凤凰城凤晴苑四街1号星荟中心3楼

名称:UA西城都荟电影城	连接:http://maoyan.com/cinema/5134?poi=148890	地址：荔湾区黄沙大道8号西城都荟广场3楼（近黄沙地铁站B出入口）

名称:hmv映联万和国际影城(南丰汇店)	连接:http://maoyan.com/cinema/12749?poi=4097322	地址：海珠区新港东路618号南丰汇广场3楼

名称:万达国际影城(番禺店)	连接:http://maoyan.com/cinema/10602?poi=462272	地址：番禺区南村镇汉溪大道东389号番禺万达广场四楼

名称:新光影城	连接:http://maoyan.com/cinema/11257?poi=4245386	地址：从化区福从路2号新光百德广场3楼

名称:大地影院(挂绿广场店)	连接:http://maoyan.com/cinema/142?poi=143636	地址：增城区挂绿路6号挂绿广场5楼（近西园路）

名称:大地影院(百德商业中心店)	连接:http://maoyan.com/cinema/2119?poi=157357	地址：番禺区桥街工业路128号百德商业中心3楼

名称:尚上国际影城	连接:http://maoyan.com/cinema/16437?poi=11468292	地址：番禺区石楼尚上名筑A4-3楼

名称:万达影城(万胜围万达影城店)	连接:http://maoyan.com/cinema/16769?poi=15002723	地址：海珠区新港东路1236号万胜广场五层

名称:大地影院(广州东区时代城)	连接:http://maoyan.com/cinema/1674?poi=237324	地址：黄埔区荔联街宏明路263号东区时代城4楼

名称:中影佰纳国际影城(番禺店)	连接:http://maoyan.com/cinema/17353?poi=15725877	地址：番禺区大石街105国道红树湾家具建材中心万盛名家酒店北门

名称:中数华昇巨幕影城(萝岗店)	连接:http://maoyan.com/cinema/13963?poi=7364040	地址：黄埔区飞晟二街6号301房（地铁6号线香雪站E出口）

名称:广州电影院	连接:http://maoyan.com/cinema/4798?poi=106935	地址：越秀区沿江西路65号

名称:IDC星梦影城(海印又一城店)	连接:http://maoyan.com/cinema/8025?poi=243197	地址：番禺区番禺大道383号海印又一城4楼（华南碧桂园旁）

名称:江高数字影院	连接:http://maoyan.com/cinema/82?poi=64583	地址：白云区江高镇夏花三路江高商业步行街A226-A235号（近KFC）

名称:万达国际影城(萝岗店)	连接:http://maoyan.com/cinema/13388?poi=4059209	地址：黄埔区科丰路89号萝岗万达广场娱乐楼四层

名称:中影传奇激光巨幕影城	连接:http://maoyan.com/cinema/105?poi=143634	地址：花都区狮岭镇田心路1号太子城6楼

名称:喜洋时代影城(洛溪奥园店)	连接:http://maoyan.com/cinema/2507?poi=148414	地址：番禺区洛浦街奥林匹克大厦四楼

名称:大地影院(奥体高德美居店)	连接:http://maoyan.com/cinema/44?poi=65589	地址：天河区奥体南路12号高德美居家居馆3楼（近天河百货）

名称:飞扬影城(正佳IMAX店)	连接:http://maoyan.com/cinema/207?poi=62333	地址：天河区天河路228号正佳购物广场7楼（近体育中心）

名称:中影峰华国际影城	连接:http://maoyan.com/cinema/13628?poi=5230921	地址：白云区太和中路86-96号来利大厦三楼

名称:中华广场电影城	连接:http://maoyan.com/cinema/209?poi=62333	地址：越秀区中山三路33号中华广场8楼（近地王广场）

名称:金逸空中电影城(阅江西路店)	连接:http://maoyan.com/cinema/7927?poi=253213	地址：海珠区阅江西路222号广州塔B功能区（17-22楼）

名称:金逸国际影城(维家思店)	连接:http://maoyan.com/cinema/208?poi=62331	地址：天河区黄埔大道西188号维家思广场3楼（富力盈隆广场对面）

名称:中影火山湖电影城(番禺店)	连接:http://maoyan.com/cinema/1671?poi=65691	地址：番禺区桥南街桥南路108号三层（哈街，近大润发）

名称:中影佰纳国际影城(花都广百新一城店)	连接:http://maoyan.com/cinema/10222?poi=462851	地址：花都区新华街龙珠路41号广百新一城五楼（即来又来隔离）

名称:大地影院(东汇城店)	连接:http://maoyan.com/cinema/2117?poi=157356	地址：增城区荔城街府佑路98号东汇城4楼

名称:大地影院(白云新市天地店)	连接:http://maoyan.com/cinema/13620?poi=6434832	地址：白云区云城街新市南街45号联富文化商业广场F座3楼全层（近联富文化商业广场）

名称:金逸影城(黄埔惠润店)	连接:http://maoyan.com/cinema/89?poi=255455	地址：黄埔区黄埔东路298号惠润广场4楼

名称:CGV影城(永旺店)	连接:http://maoyan.com/cinema/15803?poi=9281353	地址：番禺区亚运大道1号永旺梦乐城4F

名称:大地影院(大石城店)	连接:http://maoyan.com/cinema/114?poi=63825	地址：番禺区朝阳西路31号大石城5楼（近大石医院）

名称:星美国际影商城(奥园广场店)	连接:http://maoyan.com/cinema/5726?poi=156813	地址：番禺区桥南街福德路281号奥园广场3-4楼（长堤路）

名称:万达国际影城(白云万达广场店)	连接:http://maoyan.com/cinema/59?poi=7981	地址：白云区云城东路501号万达广场3层

名称:喜盟国际影城(花都DMAX店)	连接:http://maoyan.com/cinema/23883?poi=16024380	地址：花都区凤凰南路88号汇丰水产市场第四栋喜盟生活荟4楼

名称:盛世诚丰影城	连接:http://maoyan.com/cinema/17278?poi=12174516	地址：从化区红荔新村16栋

名称:中影佰纳国际影城(新塘店)	连接:http://maoyan.com/cinema/14181?poi=7301844	地址：增城区新塘镇荔新大道汇创国贸大厦三栋三楼

名称:中影火山湖电影城(东山口店)	连接:http://maoyan.com/cinema/112?poi=148224	地址：越秀区农林下路4-6号东山锦轩大厦4-6楼（电车总站对面）

名称:中影JAJ24小时咖啡影院(嘉汇广场店)	连接:http://maoyan.com/cinema/16158?poi=10111491	地址：白云区鹤龙街彭西大街嘉汇广场3楼

名称:思哲国际影城(番禺大岗店)	连接:http://maoyan.com/cinema/7823?poi=406509	地址：南沙区大岗镇兴业路96号阳光城市广场4楼（麦当劳楼上、兴业花园斜对面）

名称:展映龙骏影城	连接:http://maoyan.com/cinema/8254?poi=648256	地址：白云区增槎路1068号龙骏广场F座3层

名称:番禺市桥文化中心	连接:http://maoyan.com/cinema/134?poi=63612	地址：番禺区市桥街光明南路7号（水晶宫旁）

名称:金逸影城IMAX(光美番禺沙湾店)	连接:http://maoyan.com/cinema/8277?poi=431254	地址：番禺区沙湾镇西环路1502号荔园新天地广场3楼金逸影城

名称:喜洋时代影城(东圃四季荟店)	连接:http://maoyan.com/cinema/184?poi=105161	地址：天河区东圃大马路4号（近东圃购物中心）

名称:期遇·UUE影城(易发街店)	连接:http://maoyan.com/cinema/16860?poi=15013257	地址：番禺区繁华路57号6楼

名称:UA IMAX花城汇电影城	连接:http://maoyan.com/cinema/1676?poi=144842	地址：天河区冼村街道花城广场珠江东路30号东花城汇北区B1层1130

名称:大地影院(沙步领好广场店)	连接:http://maoyan.com/cinema/1673?poi=154153	地址：黄埔区黄埔东路2839号领好广场5楼（近黄埔华苑）

名称:泛洋国际影城	连接:http://maoyan.com/cinema/9445?poi=623080	地址：番禺区市桥街清东路203号汇珑商业中心五楼E22;六楼F18

名称:金逸影城(森多利店)	连接:http://maoyan.com/cinema/29?poi=143630	地址：荔湾区陆居路19号森多利广场2楼（即地铁1号线芳村站B1出口上）

名称:太古仓电影库	连接:http://maoyan.com/cinema/85?poi=64600	地址：海珠区革新路124号太古仓6-7仓

名称:金逸影城(光美花都狮岭店)	连接:http://maoyan.com/cinema/8044?poi=513475	地址：花都区狮岭镇阳光路丽莎广场七层

名称:金逸影城IMAX(光美番禺大石店)	连接:http://maoyan.com/cinema/8608?poi=546720	地址：番禺区大石街建华汇商业中心F座3楼（人人乐超市、麦当劳）

名称:耀莱成龙国际影城(增城新塘店)	连接:http://maoyan.com/cinema/80?poi=145860	地址：增城区新塘镇港口大道北金海岸广场（大润发4楼）

名称:青宫电影城	连接:http://maoyan.com/cinema/204?poi=252609	地址：越秀区北京路312号青年文化宫二楼（近广百百货）

名称:大地影院(华通广场店)	连接:http://maoyan.com/cinema/2118?poi=157357	地址：白云区人和镇鹤龙路187号华通广场3楼

名称:金逸珠江华盛影城(大坦沙店)	连接:http://maoyan.com/cinema/7430?poi=504949	地址：荔湾区桥中北路23一31号太佳时代广场（地铁6号线河沙站A出口）

名称:佳兆业国际影城(花都狮岭店)	连接:http://maoyan.com/cinema/16045?poi=10176787	地址：花都区狮岭镇金狮大道西29号（狮岭城市广场嘉荣超市）3楼

名称:IDC国际影城(白云尚城杜比全景声店)	连接:http://maoyan.com/cinema/13509?poi=5036402	地址：白云区尚景街1号白云尚城文化活动中心

名称:丽江影城	连接:http://maoyan.com/cinema/2455?poi=141996	地址：番禺区南浦岛丽江花园渔人码头商业饮食中心3楼

名称:中影南方国际影城(滘口店)	连接:http://maoyan.com/cinema/16031?poi=9130425	地址：荔湾区芳兴路18号滘口地铁站A2出口直入

名称:大地影院(员村店)	连接:http://maoyan.com/cinema/176?poi=143640	地址：天河区员村二横路2号员村工人文化宫内（黄埔大道口）

名称:飞扬影城(天河城店)	连接:http://maoyan.com/cinema/210?poi=8344	地址：天河区天河路208号天河城广场4楼

名称:中影国际影城(太阳新天地店)	连接:http://maoyan.com/cinema/2505?poi=153575	地址：天河区马场路36号太阳新天地八楼（近中国联通）

名称:中影佰纳飞影电影城(天河店)	连接:http://maoyan.com/cinema/1643?poi=116946	地址：天河区东莞庄路富力院士庭2楼（广东农垦总局对面）

名称:五月花电影城	连接:http://maoyan.com/cinema/206?poi=8888	地址：越秀区中山五路68号五月花商业广场6层（近广卫路）

名称:华影万晟国际影城	连接:http://maoyan.com/cinema/3?poi=8730	地址：荔湾区逢源路153号3-5楼（长寿路地铁站恒宝广场北门宝源路红绿灯右转50米）

名称:华影梅花园影城	连接:http://maoyan.com/cinema/1644?poi=141623	地址：白云区广州大道北28号梅花园商业广场5楼

名称:金逸珠江国际影城(大学城店)	连接:http://maoyan.com/cinema/14409?poi=8671546	地址：番禺区小谷围街贝岗村中二横路1号高高新天地商业广场B2B001铺

名称:星河电影院(番禺区店)	连接:http://maoyan.com/cinema/14386?poi=7795786	地址：番禺区番禺南村兴业大道之一人人佳购物广场2楼

名称:金逸影城(百信店)	连接:http://maoyan.com/cinema/118?poi=63569	地址：白云区机场路1423-1455百信广场三期五楼（近新市）

名称:永汉电影院	连接:http://maoyan.com/cinema/2478?poi=154151	地址：越秀区北京路186号3楼（潮楼对面）

名称:星汇电影城	连接:http://maoyan.com/cinema/5521?poi=242836	地址：越秀区西湖路63号光明广场7层（北京路广百南门对面）

名称:华影星美国际影城(环市西路店)	连接:http://maoyan.com/cinema/93?poi=27	地址：荔湾区环市西路133号华南影都D区2楼（近广园西路）

名称:左岸国际影城(罗冲围店)	连接:http://maoyan.com/cinema/2386?poi=154151	地址：白云区松南路1号汇锦新天地广场D栋1-3楼（近富力半岛花园，罗冲围客运站旁）

名称:保利国际影城(中环店)	连接:http://maoyan.com/cinema/1645?poi=154153	地址：越秀区建设大马路18号保利中环购物中心保利中环广场南塔5层

名称:乐天影城	连接:http://maoyan.com/cinema/13408?poi=5276689	地址：白云区钟落潭钟升东路47-49号（人人佳超市3楼）

名称:横店电影城(南沙店)	连接:http://maoyan.com/cinema/10217?poi=587689	地址：南沙区进港大道10、12号401-408房（奥园海景城中环广场l-153铺4楼）

名称:东圃摩登电影城(东圃大马路店)	连接:http://maoyan.com/cinema/196?poi=252111	地址：天河区东圃大马路14号东圃摩登城3楼（近红十字医院）

名称:中影JAJ24小时咖啡·影院(易发街店)	连接:http://maoyan.com/cinema/13962?poi=6811655	地址：番禺区繁华路3号三楼（易发商业街旁）

名称:哈艺时尚影城(白云YH城店)	连接:http://maoyan.com/cinema/13500?poi=5058580	地址：白云区鹤泰路鹤龙街YH城3楼208号（鹤边,黄边）

名称:金逸影城(太阳城IMAX店)	连接:http://maoyan.com/cinema/106?poi=65726	地址：白云区广州大道北1811号嘉裕太阳城广场3楼（南方医院正对面）

名称:金逸影城(广州达镖店)	连接:http://maoyan.com/cinema/2064?poi=154152	地址：海珠区昌岗中路238号达镖国际中心5楼（昌岗站E出口直达）

名称:龙影国际影城(白云平沙店)	连接:http://maoyan.com/cinema/15975?poi=9529313	地址：白云区均和街平沙商务大厦天和百货3楼

名称:UME国际影城	连接:http://maoyan.com/cinema/205?poi=152705	地址：海珠区宝岗大道498号广百新一城六楼（近江南西路）

名称:飞扬影城(乐峰店)	连接:http://maoyan.com/cinema/7256?poi=253558	地址：海珠区工业大道北106-108号楼乐峰广场L2楼（地铁8号线沙园地铁站A出口）

名称:中影南方WE影城(高志店)	连接:http://maoyan.com/cinema/16180?poi=8285241	地址：天河区黄埔大道西120号高志大厦4楼

名称:广东科学中心IMAX巨幕影院	连接:http://maoyan.com/cinema/109?poi=64964	地址：番禺区大学城科普路168号（近小谷围岛）

名称:哈艺时尚影城(天河科韵店)	连接:http://maoyan.com/cinema/12406?poi=4219848	地址：天河区棠安路288号天盈创意园一楼

名称:金逸影城(和业店)	连接:http://maoyan.com/cinema/49?poi=65061	地址：荔湾区康王中路486号和业广场4楼（龙津东路口）

名称:橙天嘉禾影城(白云店)	连接:http://maoyan.com/cinema/30?poi=152569	地址：白云区机场路云霄街5号停机坪购物广场3楼（近地铁白云公园A出口）

名称:越界思哲影城黄石店	连接:http://maoyan.com/cinema/16359?poi=11997657	地址：白云区黄石西路383号凯粤大厦2楼

名称:金逸影城(西村店)	连接:http://maoyan.com/cinema/5555?poi=145072	地址：荔湾区西增路63号自编A11号二楼（原啤酒厂）

名称:喜洋时代影城(花都星光汇店)	连接:http://maoyan.com/cinema/101?poi=155733	地址：花都区建设北路72号星光汇商厦8楼

名称:龙影国际影城(棠下店)	连接:http://maoyan.com/cinema/16362?poi=10384211	地址：天河区棠德南路44号乐天棠德广场2楼

名称:影天下国际影城	连接:http://maoyan.com/cinema/7952?poi=619393	地址：从化区江埔街从城大道欣荣宏国际商贸城3楼影天下国际电影城（雅居乐对面）

名称:金逸国际影城(海珠城IMAX店)	连接:http://maoyan.com/cinema/15069?poi=7287264	地址：海珠区江南大道中180号富力海珠商业广场B区七层703室（地铁2号线江南西B出口上面）

名称:SFC上影影城(广州店)	连接:http://maoyan.com/cinema/92?poi=155732	地址：海珠区江燕路108号燕汇广场4楼

名称:飞扬影城(高德置地店)	连接:http://maoyan.com/cinema/11016?poi=4123622	地址：天河区珠江东路14号高德置地冬广场5楼501铺

名称:车陂国际影城	连接:http://maoyan.com/cinema/9363?poi=560295	地址：天河区中山大道87号苏宁生活广场3楼（靠近车陂地铁站D出口，车陂BRT站）

名称:中影凤凰影城(龙归店)	连接:http://maoyan.com/cinema/8928?poi=469099	地址：白云区太和镇龙归龙岗路1号（金铂广场）

名称:横店电影城(庆丰店)	连接:http://maoyan.com/cinema/9580?poi=564699	地址：白云区庆丰广场路财智广场3楼

名称:中影星海国际影城	连接:http://maoyan.com/cinema/17342?poi=15719923	地址：番禺区光明北路281号鸿禧优活中心四楼

名称:平安大戏院	连接:http://maoyan.com/cinema/203?poi=550	地址：荔湾区十甫路125号（上下九步行街内）

名称:天河电影城(天娱广场店)	连接:http://maoyan.com/cinema/211?poi=8559	地址：天河区天河路623号天娱广场5楼（近地铁3号线岗顶站A出口）

名称:哈艺时尚影城(海珠赤岗店)	连接:http://maoyan.com/cinema/7600?poi=330146	地址：海珠区石榴岗路10号（生物工程大厦1楼）

名称:广州爱禧国际影城(原保利影院)	连接:http://maoyan.com/cinema/7382?poi=330048	地址：白云区西槎路99号骐利广场5楼（鹅掌坦）

名称:粤骏电影城	连接:http://maoyan.com/cinema/16612?poi=12756578	地址：白云区棠景街沙涌北大街新乐嘉商业广场A1区二楼

名称:中影乐佳影城	连接:http://maoyan.com/cinema/2062?poi=146562	地址：天河区天河北路705号曜和广场西3层

名称:市一宫	连接:http://maoyan.com/cinema/212?poi=324473	地址：越秀区文明路65号（近北京路）

名称:CGV影城(K11店)	连接:http://maoyan.com/cinema/25198?poi=16894050	地址：天河区珠江东路6号K11购物艺术中心5F

名称:DY喜聚国际影城	连接:http://maoyan.com/cinema/25418?poi=17774030	地址：天河区天河北路163号

名称:DY影城(恒泰汇店)	连接:http://maoyan.com/cinema/25099?poi=16565480	地址：白云区太和镇太营路288号恒泰汇广场4楼

名称:DY影城(漫广场LUXE店)	连接:http://maoyan.com/cinema/25103?poi=16564152	地址：天河区中山大道1242号漫广场5楼

名称:FUN范影城(燕塘店)	连接:http://maoyan.com/cinema/25319?poi=17490664	地址：天河区燕岭路133号苏荷独立艺术园区内

名称:UA东方宝泰电影城	连接:http://maoyan.com/cinema/24249?poi=16385720	地址：天河区林和中路63号101室

名称:yes梦想影城(动感小西关店)	连接:http://maoyan.com/cinema/25092?poi=16565062	地址：荔湾区荔湾路97号动感小西关内（地铁陈家祠站D口步行550米）

名称:万达电影城(亚运城店)	连接:http://maoyan.com/cinema/24637?poi=16501260	地址：番禺区石楼镇康体路43号亚运城广场3楼

名称:万达电影城(永和店)	连接:http://maoyan.com/cinema/24378?poi=16458339	地址：黄埔区新业路25号自编S1栋万科里享家二楼

名称:中影JAJ24小时咖啡影院(新城市场店)	连接:http://maoyan.com/cinema/25234?poi=16943141	地址：增城区永宁街新城中路24号四楼（永和新市场好邻居超市旁观光梯）

名称:中影凡力影城	连接:http://maoyan.com/cinema/23834?poi=15776388	地址：越秀区中山五路219号中旅商业城9楼（地铁公园前站Ａ出口）

名称:中影南方ONE影城	连接:http://maoyan.com/cinema/24226?poi=16337071	地址：天河区中山大道西1132号汇鑫大厦一楼

名称:中影南方V影城	连接:http://maoyan.com/cinema/25555?poi=17954061	地址：番禺区钟村街105国道钟村路段钟村市场二楼之三

名称:中影南方国际影城(流花店)	连接:http://maoyan.com/cinema/25068?poi=16564924	地址：越秀区流花路117号流花展贸中心1号馆4层全层（原广交会馆）

名称:中影南方御溪谷影城	连接:http://maoyan.com/cinema/25588?poi=18004307	地址：增城区侨建御溪谷花园御宾街3号之十一

名称:中影天川国际影城(永泰店)	连接:http://maoyan.com/cinema/25300?poi=17325648	地址：白云区丛云路945号嘉福商业广场三楼

名称:中影德金影城(客村丽影店)	连接:http://maoyan.com/cinema/25171?poi=16628327	地址：海珠区新港中路356号丽影广场B座5楼（地铁客村D出口）

名称:中影聚丰国际影城(广州白云店)	连接:http://maoyan.com/cinema/23973?poi=16080948	地址：白云区石夏路288号金铂广场7楼

名称:中都影城(克洛维店)	连接:http://maoyan.com/cinema/25200?poi=16898933	地址：天河区黄埔大道保利克洛维3期3、4层（汉堡王对面观光梯直上）

名称:佳影国际影城(番禺店)	连接:http://maoyan.com/cinema/25484?poi=17886497	地址：番禺区沙溪丽江歌剧院

名称:佳影国际影城(萝岗香雪店)	连接:http://maoyan.com/cinema/25227?poi=16892310	地址：黄埔区锐丰中心5号楼三层（地铁6号线香雪站F出口）

名称:佳映国际影城(广州江夏店)	连接:http://maoyan.com/cinema/24002?poi=16183511	地址：白云区黄石街江夏新天地广场5层（地铁2号线B出口对面）

名称:北京路期遇·艺电影城(天河城店)	连接:http://maoyan.com/cinema/24778?poi=16538298	地址：越秀区北京路238号名盛广场（天河城百货）九楼

名称:北京路飞扬影城IMAX店	连接:http://maoyan.com/cinema/25313?poi=17320322	地址：越秀区中山五路70号捷登都会6楼

名称:华夏太古影城(番禺广场店)	连接:http://maoyan.com/cinema/25372?poi=17744904	地址：番禺区番禺广场基盛万科中央公园

名称:古时代·国际影城	连接:http://maoyan.com/cinema/25657?poi=18205038	地址：番禺区沙头街小罗村小罗商业城2号楼一楼107

名称:哈艺时尚影城(祈福新邨店)	连接:http://maoyan.com/cinema/25376?poi=17739397	地址：番禺区钟村街福华路64号（祈福俱乐部斜对面）

名称:哈艺时尚影城(立白中心店)	连接:http://maoyan.com/cinema/25310?poi=17100278	地址：荔湾区陆居路2号立白大厦负一层自编B102/B103/B108号

名称:唐德国际影城广州白云汇店	连接:http://maoyan.com/cinema/24775?poi=16497083	地址：白云区黄石东路88号

名称:大地影院(石碁城市广场店)	连接:http://maoyan.com/cinema/24962?poi=16560601	地址：番禺区石基镇莲塘路2号七座四楼402

名称:大导演激光双巨幕影城(新塘店)	连接:http://maoyan.com/cinema/24891?poi=16558695	地址：增城区新塘镇汇太西路汇太广场首层东面15号（即大润发西入口对面20米胡桃里旁）

名称:大导演激光巨幕影城(广州大源店)	连接:http://maoyan.com/cinema/24611?poi=16496732	地址：白云区大源南路大源商业广场东二栋3楼

名称:天逸国际影城	连接:http://maoyan.com/cinema/25203?poi=16900005	地址：增城区久裕商贸城万和百货3楼

名称:左岸国际影城(石井店)	连接:http://maoyan.com/cinema/24091?poi=16188377	地址：白云区白云湖石沙路86号石井国际综合广场第四层

名称:左岸国际影城(萝岗店)	连接:http://maoyan.com/cinema/24285?poi=16408409	地址：黄埔区开创大道3327号东方汇广场四楼

名称:广州华彩中影影城	连接:http://maoyan.com/cinema/24642?poi=16502778	地址：南沙区兴业路31号达森广场4楼

名称:广州喜航影城(海珠店)	连接:http://maoyan.com/cinema/25627?poi=18116615	地址：海珠区江燕路99号201室

名称:广州思哲国际影城(东涌店)	连接:http://maoyan.com/cinema/24047?poi=8665548	地址：南沙区东涌镇鱼窝头大道68号天汇百汇4楼

名称:新影汇国际影城	连接:http://maoyan.com/cinema/24046?poi=15892168	地址：荔湾区花地大道中228号奔富广场首层（一号线坑口地铁站B出口转右直走200米）

名称:星天地国际影城(罗岗店)	连接:http://maoyan.com/cinema/25520?poi=17489695	地址：白云区均禾街道罗岗村委旁中源广场四楼

名称:海印国际影城	连接:http://maoyan.com/cinema/23756?poi=15944423	地址：番禺区广州番禺化龙镇展贸东路180号

名称:金逸影城(光美新塘中贸店)	连接:http://maoyan.com/cinema/25556?poi=17965069	地址：增城区新塘镇牛仔城横路242号中贸大时代广场A5栋2楼

名称:金逸院线汇赢影城	连接:http://maoyan.com/cinema/25152?poi=16584548	地址：黄埔区宏光路123号汇赢商业广场3楼

名称:麦希国际影城(广州骏壹万邦店)	连接:http://maoyan.com/cinema/24480?poi=16473617	地址：花都区曙光路81号骏壹万邦4楼

名称:龙洞巨幕影城	连接:http://maoyan.com/cinema/25545?poi=16886725	地址：天河区迎龙路163号弘马众创城1楼（九龙城旁，橙子酒店对面）

名称:哈艺时尚影城(同德围店)	连接:http://maoyan.com/cinema/17014?poi=15059885	地址：白云区西槎路221号凯升广场首层（上步牌坊对面）

名称:五一影城	连接:http://maoyan.com/cinema/15461?poi=9487401	地址：海珠区赤岗北路118号四季天地3楼

名称:市二宫电影城	连接:http://maoyan.com/cinema/177?poi=62543	地址：海珠区同福东路640号市二宫内（近市二宫地铁站）

名称:万达影城(海珠店)	连接:http://maoyan.com/cinema/15437?poi=9944579	地址：海珠区江南大道南（689-709号）与新窖西路交界处盈熙广场二楼

名称:江高巨幕国际影城	连接:http://maoyan.com/cinema/17081?poi=15208033	地址：白云区江高镇旧广花路8号亿达广场3楼

名称:雅纳国际影城	连接:http://maoyan.com/cinema/17281?poi=15665876	地址：白云区永泰金骊城广场首层

名称:百丽宫IMAX影城(猎德igc店)	连接:http://maoyan.com/cinema/16407?poi=11355961	地址：天河区珠江新城兴民路222号天汇广场igcL416

名称:星美影商城(新都荟店)	连接:http://maoyan.com/cinema/28?poi=143630	地址：海珠区东晓南路新都荟广场四楼（近地铁东晓南站C1站）

名称:百老汇影城(凯德店)	连接:http://maoyan.com/cinema/17066?poi=7914724	地址：白云区云城西路890号凯德广场·云尚5楼

名称:卢米埃影城(合生广场IMAX店)	连接:http://maoyan.com/cinema/17312?poi=15684437	地址：海珠区叠景路156-170号（双号）合生广场L5-01/17号单元

名称:横店电影城(花都店)	连接:http://maoyan.com/cinema/15050?poi=9778580	地址：花都区新华街天贵路46号百花广场四楼

名称:横店电影城(高德汇店)	连接:http://maoyan.com/cinema/1410?poi=146664	地址：天河区长兴路13号优托邦购物中心3楼（近天河客运站150米处）

名称:龙洞星美影商城(原天影影城)	连接:http://maoyan.com/cinema/6134?poi=153845	地址：天河区迎龙大道168号（工业大学旁，近龙洞步行街）

名称:中影环球影城(珠村店)	连接:http://maoyan.com/cinema/15782?poi=9395715	地址：天河区中山大道1088号博裕广场3楼（珠村BRT公交站和乐购旁边）

名称:百丽宫影城(天环店)	连接:http://maoyan.com/cinema/16408?poi=9772656	地址：天河区天河路212、214、216、218、220号天环广场ParcCentralB117

名称:中影凤凰影城(同和店)	连接:http://maoyan.com/cinema/14695?poi=9346018	地址：白云区广州大道北同和街1号金铂广场4楼

名称:星美国际影商城(钟村店)	连接:http://maoyan.com/cinema/14461?poi=7189395	地址：番禺区105国道钟村市场对面（7天酒店院内，名星会楼下）

名称:1978电影城	连接:http://maoyan.com/cinema/16685?poi=12955355	地址：增城区增江街沿江东三路15号1978创意园B区1号

名称:哈艺时尚影城(白云东平店)	连接:http://maoyan.com/cinema/15088?poi=9898228	地址：白云区永平街东平中路5号时代都荟3楼

名称:哈艺时尚影城(合生骏景店)	连接:http://maoyan.com/cinema/15966?poi=9932836	地址：天河区中山大道西1138号合生骏景广场三楼

名称:金逸二沙电影馆(二沙岛电影馆)	连接:http://maoyan.com/cinema/5807?poi=245876	地址：越秀区二沙岛烟雨路亚洲羽毛球培训中心1楼（星海音乐厅旁）

名称:星美国际影商城(人和店)	连接:http://maoyan.com/cinema/9709?poi=526908	地址：白云区人和镇西城路8号人和商业中心4楼

