 {'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京自如友家资产管理有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京九州云动科技有限公司', '职位': 'PHP'}
{'薪资': '20k-35k', '工作经验': '3-5年', '公司名称': '衣川文化（北京）有限公司', '职位': 'PHP工程师'}
{'薪资': '10k-15k', '工作经验': '3-5年', '公司名称': '北京轻松筹网络科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '18k-25k', '工作经验': '3-5年', '公司名称': '北京世纪好未来教育科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '赣州趣校园科技发展有限公司', '职位': 'PHP开发工程师'}
{'薪资': '25k-40k', '工作经验': '不限', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': 'PHP开发工程师'}
{'薪资': '35k-70k', '工作经验': '1-3年', '公司名称': '链家网（北京）科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '10k-15k', '工作经验': '1-3年', '公司名称': '北京蚂蜂窝网络科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '25k-40k', '工作经验': '3-5年', '公司名称': '北京小米科技有限责任公司', '职位': 'PHP开发工程师-支付'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京点石经纬科技有限公司', '职位': 'PHP工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '上海拓畅信息技术有限公司北京分公司', '职位': 'php/node.js'}
{'薪资': '20k-40k', '工作经验': '5-10年', '公司名称': '南京苏宁软件技术有限公司', '职位': 'PHP开发工程师'}
{'薪资': '18k-30k', '工作经验': '1-3年', '公司名称': '北京小度信息科技有限公司', '职位': 'php研发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京影合众新媒体技术服务有限公司', '职位': 'PHP开发工程师'}
{'薪资': '25k-50k', '工作经验': '5-10年', '公司名称': '上海谦问万答吧云计算科技有限公司', '职位': 'PHP工程师'}
{'薪资': '25k-50k', '工作经验': '3-5年', '公司名称': '小糖互联（北京）网络科技有限公司', '职位': 'PHP工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '衣川文化（北京）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'PHP研发工程师'}
{'薪资': '25k-45k', '工作经验': '3-5年', '公司名称': '乐惠（北京）科技有限公司', '职位': '高级PHP'}
{'薪资': '10k-20k', '工作经验': '3-5年', '公司名称': '瞬联软件科技（北京）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '1-3年', '公司名称': '百度在线网络技术（北京）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '链家网（北京）科技有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京蚂蜂窝网络科技有限公司', '职位': 'php开发工程师-系统部'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '奇虎360科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-35k', '工作经验': '3-5年', '公司名称': '北京智借网络科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京世纪好未来教育科技有限公司', '职位': 'PHP工程师'}
{'薪资': '8k-15k', '工作经验': '3-5年', '公司名称': '爱奇清科（北京）信息科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京什格网络科技有限公司', '职位': 'php工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '北京东方车云信息技术有限公司', '职位': '高级PHP工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京清众教育科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京作业盒子科技有限公司', '职位': 'PHP开发工程师 (MJ000004)'}
{'薪资': '18k-35k', '工作经验': '3-5年', '公司名称': '上海蔚来汽车有限公司', '职位': 'PHP工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '上海谦问万答吧云计算科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-30k', '工作经验': '5-10年', '公司名称': '乐惠（北京）科技有限公司', '职位': 'PHP研发'}
{'薪资': '18k-35k', '工作经验': '5-10年', '公司名称': '北京网信金服信息科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '北京棕榈创想科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-25k', '工作经验': '1-3年', '公司名称': '链家网（北京）科技有限公司', '职位': 'PHP工程师（ZYGX001）'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京蚂蜂窝网络科技有限公司', '职位': '高级PHP 开发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京智借网络科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '1-3年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': 'PHP研发工程师(J171212022)'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '北京小度信息科技有限公司', '职位': 'PHP工程师'}
{'薪资': '25k-45k', '工作经验': '3-5年', '公司名称': '乐惠（北京）科技有限公司', '职位': '高级PHP'}
{'薪资': '12k-24k', '工作经验': '1-3年', '公司名称': '北京多格科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '上海蔚来汽车有限公司', '职位': 'PHP开发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '广州摩翼信息科技有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '25k-50k', '工作经验': '3-5年', '公司名称': '北京小米科技有限责任公司', '职位': '高级php /golang后端开发'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '网信集团有限公司', '职位': 'PHP开发工程师'}
{'薪资': '16k-18k', '工作经验': '1-3年', '公司名称': '古点投资有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '你好世界（北京）科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '北京卓众出版有限公司', '职位': 'PHP工程师'}
{'薪资': '30k-60k', '工作经验': '3-5年', '公司名称': '链家网（北京）科技有限公司', '职位': '资深PHP开发工程师'}
{'薪资': '20k-32k', '工作经验': '3-5年', '公司名称': '北京蚂蜂窝网络科技有限公司', '职位': 'PHP开发工程师（用户增长）'}
{'薪资': '10k-15k', '工作经验': '3-5年', '公司名称': '北京智借网络科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'PHP研发工程师'}
{'薪资': '8k-14k', '工作经验': '不限', '公司名称': '北京智启蓝墨信息技术有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '上海蔚来汽车有限公司', '职位': 'PHP工程师'}
{'薪资': '13k-25k', '工作经验': '3-5年', '公司名称': '国美控股集团有限公司', '职位': 'PHP'}
{'薪资': '9k-12k', '工作经验': '1-3年', '公司名称': '北京好价网络科技有限公司', '职位': 'PHP工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京汇行科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '北京点众科技股份有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '16k-24k', '工作经验': '3-5年', '公司名称': '北京高因科技有限公司', '职位': 'PHP 开发工程师'}
{'薪资': '17k-34k', '工作经验': '5-10年', '公司名称': '达闼科技（北京）有限公司', '职位': '高级PHP软件工程师'}
{'薪资': '20k-40k', '工作经验': '5-10年', '公司名称': '奇虎360科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京九识佳科技有限公司', '职位': '高级PHP'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京九州云动科技有限公司', '职位': 'PHP 高级开发工程师'}
{'薪资': '25k-50k', '工作经验': '3-5年', '公司名称': '链家网（北京）科技有限公司', '职位': '高级PHP工程师'}
{'薪资': '25k-45k', '工作经验': '1-3年', '公司名称': '北京蚂蜂窝网络科技有限公司', '职位': 'PHP开发工程师（流量业务）'}
{'薪资': '15k-25k', '工作经验': '1-3年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'PHP研发工程师'}
{'薪资': '10k-15k', '工作经验': '1-3年', '公司名称': '轻易科技有限公司', '职位': 'PHP开发工程师-北京-00190'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '特斯联（北京）科技有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-40k', '工作经验': '不限', '公司名称': '互动峰科技(北京)有限公司', '职位': 'php开发工程师'}
{'薪资': '15K-30K', '工作经验': '1-3年', '公司名称': '医渡云（北京）技术有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '百度在线网络技术（北京）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '上海蔚来汽车有限公司', '职位': 'PHP开发工程师（车联网）'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '塞纳德（北京）信息技术有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '5-10年', '公司名称': '衣川文化（北京）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京九州云动科技有限公司', '职位': '高级 PHP 研发工程师'}
{'薪资': '18k-36k', '工作经验': '3-5年', '公司名称': '北京云杉世界信息技术有限公司', '职位': 'PHP（总部-M）'}
{'薪资': '8k-15k', '工作经验': '3-5年', '公司名称': '北京智借网络科技有限公司', '职位': 'PHP工程师-Y'}
{'薪资': '12k-18k', '工作经验': '3-5年', '公司名称': '全美在线（北京）教育科技股份有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '链家网（北京）科技有限公司', '职位': '资深PHP工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'PHP研发工程师'}
{'薪资': '18k-36k', '工作经验': '3-5年', '公司名称': '特斯联（北京）科技有限公司', '职位': 'php工程师'}
{'薪资': '25k-45k', '工作经验': '不限', '公司名称': '百度在线网络技术（北京）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '18k-25k', '工作经验': '5-10年', '公司名称': '小小黛朵（北京）科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京什格网络科技有限公司', '职位': 'PHP开发'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '上海谦问万答吧云计算科技有限公司', '职位': 'PHP工程师'}
{'薪资': '18k-36k', '工作经验': '3-5年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': 'PHP研发工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '上海淇毓信息科技有限公司', '职位': 'PHP工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '乐视网信息技术（北京）股份有限公司', '职位': 'PHP开发工程师-大屏购物'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '奇虎360科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-35k', '工作经验': '3-5年', '公司名称': '北京云杉世界信息技术有限公司', '职位': 'PHP （总部）-Z'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京摩点会想科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '16k-25k', '工作经验': '3-5年', '公司名称': '北京香哈网络股份有限公司', '职位': 'PHP工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '安一恒通（北京）科技有限公司', '职位': 'php'}
{'薪资': '25k-30k', '工作经验': '3-5年', '公司名称': '链家网（北京）科技有限公司', '职位': '高级PHP工程师'}
{'薪资': '15k-25k', '工作经验': '1-3年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'PHP研发工程师J10370'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': '【滴滴】PHP研发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京太合音乐文化发展有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '上海淇毓信息科技有限公司', '职位': 'PHP工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京步鼎方舟科技有限公司', '职位': 'PHP高级工程师'}
{'薪资': '25k-30k', '工作经验': '5-10年', '公司名称': '北京好巧国际旅行社有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京百乘金科科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-30k', '工作经验': '不限', '公司名称': '北京小米科技有限责任公司', '职位': '高级PHP/Golang开发工程师'}
{'薪资': '18k-36k', '工作经验': '3-5年', '公司名称': '奇虎360科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '5-10年', '公司名称': '北京轻松筹网络科技有限公司', '职位': '资深PHP开发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京智阅网络科技有限公司', '职位': 'PHP'}
{'薪资': '16k-30k', '工作经验': '1-3年', '公司名称': '北京小度信息科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京汇行科技有限公司', '职位': 'PHP工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '北京东方车云信息技术有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '链家网（北京）科技有限公司', '职位': 'PHP高级研发工程师-新房平台事业部'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京步鼎方舟科技有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '20k-35k', '工作经验': '5-10年', '公司名称': '塞纳德（北京）信息技术有限公司', '职位': '资深PHP开发工程师'}
{'薪资': '30k-45k', '工作经验': '5-10年', '公司名称': '北京快松果科技有限公司', '职位': '高级PHP工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京轻松筹网络科技有限公司', '职位': '高级PHP'}
{'薪资': '20k-40k', '工作经验': '1-3年', '公司名称': '北京摩尔妈咪网络科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-20k', '工作经验': '1-3年', '公司名称': '北京世纪好未来教育科技有限公司', '职位': '应用研发部-PHP工程师'}
{'薪资': '20k-40k', '工作经验': '不限', '公司名称': '互动峰科技(北京)有限公司', '职位': 'php开发工程师'}
{'薪资': '20k-30k', '工作经验': '1-3年', '公司名称': '零氪信息技术（北京）有限公司', '职位': 'php开发工程师'}
{'薪资': '25k-35k', '工作经验': '5-10年', '公司名称': '北京微播易科技股份有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '北京卓众出版有限公司', '职位': '高级PHP工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京小度信息科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '北京奇客创想科技股份有限公司', '职位': 'PHP中级开发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京中公教育科技股份有限公司', '职位': 'PHP研发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '链家网（北京）科技有限公司', '职位': 'PHP 高级工程师'}
{'薪资': '30k-50k', '工作经验': '5-10年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': '场景服务 PHP/GO开发工程师'}
{'薪资': '20k-35k', '工作经验': '3-5年', '公司名称': '北京轻松筹网络科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '1-3年', '公司名称': '北京小度信息科技有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '25k-40k', '工作经验': '3-5年', '公司名称': '北京世纪好未来教育科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京九识佳科技有限公司', '职位': 'PHP'}
{'薪资': '24k-48k', '工作经验': '5-10年', '公司名称': '厦门千时科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '30k-45k', '工作经验': '3-5年', '公司名称': '北京快松果科技有限公司', '职位': '高级PHP工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '不限', '公司名称': '北京百乘金科科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '炘宇（北京）科技有限公司', '职位': '高级PHP工程师'}
{'薪资': '25k-40k', '工作经验': '3-5年', '公司名称': '趣分期（北京）信息技术有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '北京群星闪耀科技有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-40k', '工作经验': '不限', '公司名称': '互动峰科技(北京)有限公司', '职位': 'php开发工程师（20k-40K）'}
{'薪资': '20k-35k', '工作经验': '3-5年', '公司名称': '北京云杉世界信息技术有限公司', '职位': 'PHP开发工程师'}
{'薪资': '40k-70k', '工作经验': '5-10年', '公司名称': '链家网（北京）科技有限公司', '职位': 'PHP架构工程师'}
{'薪资': '15k-28k', '工作经验': '1-3年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': 'PHP 研发工程师'}
{'薪资': '25k-40k', '工作经验': '3-5年', '公司名称': '北京小度信息科技有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京世纪好未来教育科技有限公司', '职位': 'PHP工程师-zx'}
{'薪资': '25k-50k', '工作经验': '5-10年', '公司名称': '北京新氧科技有限公司', '职位': 'php技术leader'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京汇通天下物联科技有限公司', '职位': 'PHP开发工程师(J11689)'}
{'薪资': '25k-35k', '工作经验': '5-10年', '公司名称': '奥琦玮信息科技（北京）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '5-10年', '公司名称': '唯开乐学（北京）教育科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'PHP研发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '衣川文化（北京）有限公司', '职位': 'PHP应用开发工程师'}
{'薪资': '30k-45k', '工作经验': '3-5年', '公司名称': '炫一下（北京）科技有限公司', '职位': 'PHP开发'}
{'薪资': '12k-24k', '工作经验': '3-5年', '公司名称': '厦门千时科技有限公司', '职位': '中级PHP开发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京摩点会想科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '上海鋆创信息技术有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '北京卓众出版有限公司', '职位': '高级PHP开发'}
{'薪资': '25k-40k', '工作经验': '3-5年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': 'PHP/GO开发工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': '资深PHP研发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京世纪好未来教育科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-38k', '工作经验': '3-5年', '公司名称': '北京小度信息科技有限公司', '职位': '资深PHP研发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '尚客圈（北京）文化传播有限公司', '职位': 'PHP工程师'}
{'薪资': '25k-50k', '工作经验': '不限', '公司名称': '上海基分文化传播有限公司', '职位': 'PHP工程师、架构师'}
{'薪资': '30k-50k', '工作经验': '5-10年', '公司名称': '紫梧桐（北京）资产管理有限公司', '职位': 'PHP高级工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '上海淇毓信息科技有限公司', '职位': 'PHP工程师'}
{'薪资': '25k-35k', '工作经验': '3-5年', '公司名称': '北京盈禾优仕科技有限责任公司', '职位': 'PHP高级开发工程师-北京-00046'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京奥鹏远程教育中心有限公司', '职位': 'PHP开发工程师'}
{'薪资': '18k-25k', '工作经验': '5-10年', '公司名称': '北京数字天域科技有限责任公司', '职位': '高级PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京思维造物信息科技有限公司', '职位': 'Golang/PHP/中间件高级研发工程师'}
{'薪资': '15k-23k', '工作经验': '3-5年', '公司名称': '全美在线（北京）教育科技股份有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '20k-35k', '工作经验': '3-5年', '公司名称': '北京中公教育科技股份有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京水母科技有限公司', '职位': 'PHP高级开发'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': '【滴滴】PHP研发工程师'}
{'薪资': '15K-30K', '工作经验': '1-3年', '公司名称': '北京小度信息科技有限公司', '职位': 'PHP开发工程师/高级PHP工程师'}
{'薪资': '10k-18k', '工作经验': '1-3年', '公司名称': '上海淇毓信息科技有限公司', '职位': 'PHP工程师'}
{'薪资': '25k-45k', '工作经验': '3-5年', '公司名称': '上海基分文化传播有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京世纪好未来教育科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京九州云动科技有限公司', '职位': '资深PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '5-10年', '公司名称': '北京汇行科技有限公司', '职位': '资深PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京币世界网络科技有限公司', '职位': 'PHP研发工程师（中高级）'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京作业盒子科技有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '20k-35k', '工作经验': '5-10年', '公司名称': '北京物灵智能科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '奇虎360科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '18k-36k', '工作经验': '3-5年', '公司名称': '车好多旧机动车经纪(北京)有限公司', '职位': 'Java/Php工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京金山云网络技术有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '18k-28k', '工作经验': '3-5年', '公司名称': '乐视网信息技术（北京）股份有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '15k-25k', '工作经验': '不限', '公司名称': '北京极客邦科技有限公司', '职位': 'PHP/Go开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京小度信息科技有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '25k-40k', '工作经验': '5-10年', '公司名称': '北京世纪好未来教育科技有限公司', '职位': 'php开发'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京九州云动科技有限公司', '职位': 'PHP 开发工程师'}
{'薪资': '20k-35k', '工作经验': '3-5年', '公司名称': '北京金山云网络技术有限公司', '职位': '中级PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '不限', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'PHP研发工程师'}
